OEMNumber,ProductType,ReferenceNumber,Xerox - SourceWell Eligible Customers,Xerox - SIP Program for Authorized DTP Partners,Xerox - 2024A4GrowthPricing,Xerox - Multiple Dealers / NASPO Eligible Dealers Only,Xerox - Allied Business Solutions / Church of Jesus Christ Of Latter Day Saints - A3,Xerox - Allied Business Solutions / Church of Jesus Christ Of Latter Day Saints - A4,Xerox - Allied Business Solutions / Church of Jesus Christ Of Latter Day Saints - LP,Xerox - SIP Lexmark Program,Xerox - Lexmark CX963/XSE Demo Offering for All AOM Authorized Partners,Xerox - AOM HW Level 7 IR,Xerox - AOM Light Production HW - Level 7
"006R01766","OEM Toner","1140325","","66.25","","","","","","","","",""
"006R01771","OEM Toner","1161982","","41.44","","","","","","","","",""
"006R01818","OEM Toner","1267064","","67.70","","","","","","","","",""
"006R01824","OEM Toner","1267065","","65.93","","","","","","","","",""
"006R01825","OEM Toner","1267066","","106.80","","","","","","","","",""
"006R01826","OEM Toner","1267067","","106.80","","","","","","","","",""
"006R01827","OEM Toner","1267068","","106.80","","","","","","","","",""
"006R04364","OEM Toner","1251461","","116.67","","","","","","","","",""
"006R04365","OEM Toner","1251462","","104.59","","","","","","","","",""
"006R04366","OEM Toner","1251463","","104.59","","","","","","","","",""
"006R04367","OEM Toner","1251464","","104.59","","","","","","","","",""
"006R04378","OEM Toner","1241301","","147.27","","","","","","","","",""
"006R04391","OEM Toner","1234088","","","","","","102.35","","","","",""
"006R04624","OEM Toner","1328990","","126.64","","","","","","","","",""
"006R04625","OEM Toner","1328991","","158.76","","","","","","","","",""
"006R04626","OEM Toner","1328992","","158.76","","","","","","","","",""
"006R04627","OEM Toner","1328993","","158.76","","","","","","","","",""
"006R04636","OEM Toner","1322995","","161.58","","","","","","","","",""
"006R04637","OEM Toner","1322996","","211.68","","","","","","","","",""
"006R04638","OEM Toner","1322997","","211.68","","","","","","","","",""
"006R04639","OEM Toner","1322998","","211.68","","","","","","","","",""
"006R04670","OEM Toner","1299827","","125.79","","","","","","","","",""
"006R04685","OEM Toner","1306598","","67.38","","","","","","","","",""
"006R04686","OEM Toner","1306599","","105.23","","","","","","","","",""
"006R04687","OEM Toner","1306600","","105.23","","","","","","","","",""
"006R04688","OEM Toner","1306601","","105.23","","","","","","","","",""
"006R04726","OEM Toner","1306613","","108.14","","","","","","","","",""
"006R04727","OEM Toner","1306614","","137.12","","","","","","","","",""
"006R04828","OEM Toner","1335775","","104.40","","","","","","","","",""
"006R04829","OEM Toner","1335776","","104.40","","","","","","","","",""
"006R04830","OEM Toner","1335777","","104.40","","","","","","","","",""
"006R04831","OEM Toner","1335778","","122.20","","","","","","","","",""
"006R04851","OEM Toner","1342659","","42.84","","","","","","","","",""
"006R04852","OEM Toner","1342661","","172.05","","","","","","","","",""
"006R04853","OEM Toner","1342662","","172.05","","","","","","","","",""
"006R04854","OEM Toner","1342663","","172.05","","","","","","","","",""
"006R05172","OEM Toner","1362476","","","","","","","","148.79","","",""
"006R05173","OEM Toner","1362477","","","","","","","","148.79","","",""
"006R05174","OEM Toner","1362478","","","","","","","","148.79","","",""
"006R05175","OEM Toner","1362479","","","","","","","","53.09","","",""
"006R05184","OEM Toner","1362480","","","","","","","","162.16","","",""
"006R05185","OEM Toner","1362481","","","","","","","","162.16","","",""
"006R05186","OEM Toner","1362482","","","","","","","","162.16","","",""
"006R05187","OEM Toner","1362483","","","","","","","","62.09","","",""
"008R08101","OEM Miscellaneous","1161995","","22.57","","","","","","","","",""
"008R08102","OEM Miscellaneous","1161996","","22.60","","","","","","","","",""
"008R08103","OEM Color Laser Maintenance","1161997","","39.11","","","","","","","","",""
"008R08104","OEM Color Laser Maintenance","1161998","","18.96","","","","","","","","",""
"008R08159","OEM Miscellaneous","1342664","","8.50","","","","","","","","",""
"008R08170","OEM Miscellaneous","1362484","","","","","","","","10.00","","",""
"008R08171","OEM Miscellaneous","1362485","","","","","","","","10.00","","",""
"008R12897","OEM Miscellaneous","915464","","83.07","","","","","","","","",""
"008R12898","Accessories","6443","","70.39","","","","","","","","",""
"008R12912","OEM Miscellaneous","915465","","76.26","","","","","","","","",""
"008R12920","OEM Miscellaneous","915467","","76.12","","","","","","","","",""
"008R12925","OEM Miscellaneous","15085","","102.99","","","","","","","","",""
"008R12941","OEM Miscellaneous","13047","","63.69","","","","","","","","",""
"008R12964","Accessories","14070","","65.13","","","","","","","","",""
"008R12990","OEM Miscellaneous","100190","","6.42","","","","","","","","",""
"008R13036","OEM Miscellaneous","927400","","12.68","","","","","","","","",""
"008R13041","OEM Miscellaneous","915470","","89.45","","","","","","","","",""
"008R13061","OEM Miscellaneous","97772","","15.75","","","","","","","","",""
"008R13064","OEM Color Laser Maintenance","915434","","57.54","","","","","","","","",""
"008R13086","OEM Mono Laser Maintenance","915435","","48.37","","","","","","","","",""
"008R13087","OEM Mono Laser Maintenance","915436","","151.78","","","","","","","","",""
"008R13089","Accessories","910493","","19.37","","","","","","","","",""
"008R13102","OEM Color Laser Maintenance","927358","","203.14","","","","","","","","",""
"008R13177","OEM Miscellaneous","978153","","74.94","","","","","","","","",""
"008R13178","OEM Color Laser Maintenance","930303","","17.34","","","","","","","","",""
"008R13303","OEM Copier Maintenance","1254940","","108.81","","","","","","","","",""
"008R13325","OEM Miscellaneous","1251469","","11.20","","","","","","","","",""
"008R13334","OEM Miscellaneous","1323003","","27.70","","","","","","","","",""
"013R00591","OEM Drum","913537","","157.95","","","","","","","","",""
"013R00650","OEM Drum","927359","","26.77","","","","","","","","",""
"013R00657","OEM Drum","915437","","157.45","","","","","","","","",""
"013R00658","OEM Drum","915438","","157.29","","","","","","","","",""
"013R00659","OEM Drum","915439","","157.29","","","","","","","","",""
"013R00660","OEM Drum","915440","","157.29","","","","","","","","",""
"013R00662","OEM Drum","912322","","164.61","","","","","","","","",""
"013R00663","OEM Drum","927360","","154.81","","","","","","","","",""
"013R00664","OEM Drum","927361","","139.03","","","","","","","","",""
"013R00668","OEM Drum","927404","","252.28","","","","","","","","",""
"013R00675","OEM Drum","978158","","137.66","","","","","","","","",""
"013R00681","OEM Drum","1161988","","214.90","","","","","","","","",""
"013R00684","OEM Drum","1140326","","383.26","","","","","","","","",""
"013R00686","OEM Drum","1161983","","141.16","","","","","","","","",""
"013R00687","OEM Drum","1267069","","144.72","","","","","","","","",""
"013R00688","OEM Drum","1267070","","126.01","","","","","","","","",""
"013R00689","OEM Drum","1251470","","115.28","","","","","","","","",""
"013R00690","OEM Drum","1241307","","60.14","","","","","","","","",""
"013R00692","OEM Drum","1251471","","174.44","","","","","","","","",""
"013R00697","OEM Drum","1323004","","92.91","","","","","","","","",""
"013R00698","OEM Drum","1323005","","252.17","","","","","","","","",""
"013R00699","OEM Drum","1299829","","65.64","","","","","","","","",""
"013R00700","OEM Drum","1306602","","175.85","","","","","","","","",""
"013R00701","OEM Drum","1306603","","263.77","","","","","","","","",""
"013R00702","OEM Drum","1306616","","44.53","","","","","","","","",""
"013R00703","OEM Drum","1342665","","42.86","","","","","","","","",""
"013R00709","OEM Drum","1362488","","","","","","","","10.00","","",""
"013R00710","OEM Drum","1362489","","","","","","","","10.00","","",""
"097N02286","Accessories","1323526","","","","","","","","","","2,436.75",""
"097N02389","Accessories","1323532","11,517.02","","","","","","","","","",""
"097N02410","Accessories","1348975","","","","240.59","","","","","","270.95",""
"097N02441","Accessories","1323006","270.27","","","258.44","","","","","","",""
"097N02442","Accessories","1309129","","","","266.29","","","","","","",""
"097N02443","Accessories","1299830","420.36","","","391.98","","","","","","",""
"097N02444","Accessories","1299831","59.43","","","60.48","","","","","","",""
"097N02445","Accessories","1299832","251.79","","","234.87","","","","","","",""
"097N02446","Accessories","1299833","480.59","","","431.25","","","","","","",""
"097N02447","Accessories","1299834","336.06","","","313.41","","","","","","",""
"097N02464","Accessories","1306592","","","","391.98","","","","","","",""
"097N02465","Accessories","1306590","","","","172.02","","141.63","","","","",""
"097N02466","Accessories","1309130","","","","391.98","","","","","","",""
"097N02467","Accessories","1306610","","","","391.98","","","","","","",""
"097N02468","Accessories","1306591","","","","172.02","","140.99","","","","",""
"097N02469","Accessories","1306609","","","","156.33","","","","","","",""
"097N02470","Accessories","1306611","","","","43.21","","","","","","",""
"097N02495","Accessories","1342611","86.77","","","91.86","","","","","","105.56",""
"097N02498","Accessories","1345143","2,413.52","","","1,945.95","","","","","","2,560.82",""
"097N02530","Accessories","1361198","","","","566.27","","","","","","583.96",""
"097S04167","Accessories","911836","","","","","","","","","","2,032.05",""
"097S04469","Accessories","1361200","","","","94.35","","","","","","92.68",""
"097S04615","Accessories","1323537","562.04","","","412.75","","","","","","650.99",""
"097S04746","Accessories","1323539","878.11","","","1,559.31","","","","","","1,485.06",""
"097S04845","Accessories","1082418","898.10","","","","","","","","","",""
"097S04847","Accessories","1323541","578.32","","","484.82","377.41","","","","","554.05",""
"097S04907","Accessories","997164","","","","472.22","","","","","","488.70",""
"097S04908","Accessories","1323542","911.99","","","1,022.34","","","","","","1,042.10",""
"097S04909","Accessories","1323543","795.62","","","","","","","","","1,219.59",""
"097S04910","Accessories","995653","237.07","","","268.72","","","","","","243.77",""
"097S04952","Accessories","979620","377.39","","","","","","","","","",""
"097S04953","Accessories","979621","377.39","","","","","","","","","",""
"097S04954","Accessories","979622","150.80","","","","","138.53","","","","",""
"097S04969","Accessories","1082419","691.03","","","","","","","","","",""
"097S04971","Accessories","1082421","207.06","","","","","","","","","",""
"097S04974","Accessories","1082422","414.14","","","","","","","","","",""
"097S04994","Accessories","1190637","188.69","","","","","156.51","","","","",""
"097S05007","Accessories","1323546","529.49","","","523.92","","","","","","499.63",""
"097S05010","Accessories","1323547","1,026.90","","","1,016.49","","","","","","1,018.62",""
"097S05011","Accessories","1348787","1,026.90","","","1,016.49","","","","","","1,018.62",""
"097S05019","Accessories","1302860","646.34","","","676.29","","","","","","634.12",""
"097S05020","Accessories","1323549","731.04","","","844.57","","","","","","828.88",""
"097S05112","Accessories","1323562","2,598.33","","","","","","","","","",""
"097S05140","Accessories","1323569","128.56","","","90.05","","","","","","142.78",""
"097S05244","Accessories","1299835","167.50","","","156.33","","","","","","",""
"097S05270","Accessories","1361202","","","","376.71","","","","","","366.98",""
"097S05293","Accessories","1362047","232.69","","","250.66","","","","","","207.11",""
"097S05294","Accessories","1362048","542.95","","","583.93","","","","","","482.48",""
"097S05296","Accessories","1362049","698.07","","","750.78","","","","","","620.33",""
"097S05298","Accessories","1362050","155.13","","","165.99","","","","","","137.15",""
"097S05299","Accessories","1362051","358.84","","","415.67","","","","","","372.13",""
"097S05300","Accessories","1362052","569.29","","","475.88","","","","","","495.54",""
"097S05302","Accessories","1362053","366.33","","","362.47","","","","","","363.91",""
"097S05303","Accessories","1362054","126.56","","","125.23","","","","","","127.09",""
"097S05305","Accessories","1362055","553.52","","","579.67","","","","","","493.73",""
"097S05306","Accessories","1362056","987.03","","","1,081.13","","","","","","935.07",""
"097S05307","Accessories","1362057","2,082.74","","","1,604.55","","","","","","2,052.87",""
"097S05310","Accessories","1362058","1,057.17","","","847.64","","","","","","1,037.61",""
"097S05311","Accessories","1362059","82.71","","","86.62","","","","","","74.04",""
"098S05050","Accessories","1323576","709.53","","","709.15","","","","","","702.07",""
"101R00474","OEM Drum","930620","","51.95","","","","","","","","",""
"101R00554","OEM Drum","975080","","37.57","","","","","","","","",""
"101R00555","OEM Drum","971788","","50.99","","","","","","","","",""
"101R00582","OEM Drum","991277","","43.69","","","","","","","","",""
"101R00602","OEM Drum","1082445","","177.35","","","","","","","","",""
"104R00256","OEM Color Laser Maintenance","1082446","","52.80","","","","","","","","",""
"106R01160","OEM Toner","15080","","361.77","","","","","","","","",""
"106R01161","OEM Toner","15081","","361.77","","","","","","","","",""
"106R01162","OEM Toner","15082","","361.77","","","","","","","","",""
"106R01163","OEM Toner","15079","","140.08","","","","","","","","",""
"106R01217","OEM Toner","90295","","139.13","","","","","","","","",""
"106R01218","OEM Toner","90307","","238.87","","","","","","","","",""
"106R01219","OEM Toner","90308","","238.87","","","","","","","","",""
"106R01220","OEM Toner","90309","","238.87","","","","","","","","",""
"106R01221","OEM Toner","90302","","119.28","","","","","","","","",""
"106R01294","OEM Toner","900778","","116.12","","","","","","","","",""
"106R01317","OEM Toner","7748","","285.42","","","","","","","","",""
"106R01319","OEM Toner","7750","","285.42","","","","","","","","",""
"106R01368","OEM Miscellaneous","7755","","43.44","","","","","","","","",""
"106R01371","OEM Toner","900783","","224.13","","","","","","","","",""
"106R01392","OEM Toner","904782","","172.06","","","","","","","","",""
"106R01393","OEM Toner","904783","","180.73","","","","","","","","",""
"106R01434","OEM Toner","7762","","280.40","","","","","","","","",""
"106R01454","OEM Toner","904788","","102.22","","","","","","","","",""
"106R01503","OEM Toner","502148","","147.50","","","","","","","","",""
"106R01509","OEM Toner","502236","","237.02","","","","","","","","",""
"106R01535","OEM Toner","99899","","280.79","","","","","","","","",""
"106R01564","OEM Toner","502321","","155.41","","","","","","","","",""
"106R01567","OEM Toner","502335","","301.98","","","","","","","","",""
"106R01568","OEM Toner","502372","","301.98","","","","","","","","",""
"106R01569","OEM Toner","502401","","246.18","","","","","","","","",""
"106R01582","OEM Drum","502420","","193.82","","","","","","","","",""
"106R02225","OEM Toner","908818","","138.28","","","","","","","","",""
"106R02226","OEM Toner","908819","","138.28","","","","","","","","",""
"106R02227","OEM Toner","908820","","138.28","","","","","","","","",""
"106R02228","OEM Toner","908821","","75.00","","","","","","","","",""
"106R02241","OEM Toner","908822","","92.70","","","","","","","","",""
"106R02242","OEM Toner","908823","","92.70","","","","","","","","",""
"106R02243","OEM Toner","908824","","92.70","","","","","","","","",""
"106R02244","OEM Toner","908825","","81.07","","","","","","","","",""
"106R02602","OEM Toner","908829","","240.49","","","","","","","","",""
"106R02731","OEM Toner","915007","","138.07","","","","","","","","",""
"106R02738","OEM Toner","930241","","203.77","","","","","","","","",""
"106R02740","OEM Toner","930242","","134.71","","","","","","","","",""
"106R02744","OEM Toner","930243","","118.67","","","","","","","","",""
"106R02745","OEM Toner","930244","","118.67","","","","","","","","",""
"106R02746","OEM Toner","930245","","118.67","","","","","","","","",""
"106R02747","OEM Toner","930246","","87.75","","","","","","","","",""
"106R02756","OEM Toner","937878","","43.62","","","","","","","","",""
"106R02757","OEM Toner","937879","","43.62","","","","","","","","",""
"106R02758","OEM Toner","937880","","43.62","","","","","","","","",""
"106R02759","OEM Toner","937881","","61.81","","","","","","","","",""
"106R02777","OEM Toner","930623","","60.67","","","","","","","","",""
"106R03394","OEM Toner","978160","","61.46","","","","","","","","",""
"106R03480","OEM Toner","973575","","83.93","","","","","","","","",""
"106R03512","OEM Toner","975085","","47.91","","","","","","","","",""
"106R03513","OEM Toner","975086","","93.15","","","","","","","","",""
"106R03514","OEM Toner","975087","","93.15","","","","","","","","",""
"106R03515","OEM Toner","975088","","93.15","","","","","","","","",""
"106R03524","OEM Toner","975089","","68.96","","","","","","","","",""
"106R03525","OEM Toner","975090","","122.81","","","","","","","","",""
"106R03526","OEM Toner","975091","","122.81","","","","","","","","",""
"106R03527","OEM Toner","975092","","122.81","","","","","","","","",""
"106R03584","OEM Toner","975095","","129.07","","","","","","","","",""
"106R03624","OEM Toner","971791","","100.30","","","","","","","","",""
"106R03690","OEM Toner","973576","","85.55","","","","","","","","",""
"106R03691","OEM Toner","973577","","85.55","","","","","","","","",""
"106R03692","OEM Toner","973578","","85.55","","","","","","","","",""
"106R03737","OEM Toner","977999","","47.73","","","","","","","","",""
"106R03738","OEM Toner","978000","","83.06","","","","","","","","",""
"106R03739","OEM Toner","978001","","83.06","","","","","","","","",""
"106R03740","OEM Toner","978002","","83.06","","","","","","","","",""
"106R03757","OEM Toner","978007","","84.39","","","","","","","","",""
"106R03758","OEM Toner","978008","","179.16","","","","","","","","",""
"106R03759","OEM Toner","978009","","179.16","","","","","","","","",""
"106R03760","OEM Toner","978010","","179.16","","","","","","","","",""
"106R03866","OEM Toner","979631","","122.76","","","","","","","","",""
"106R03867","OEM Toner","979632","","122.76","","","","","","","","",""
"106R03868","OEM Toner","979633","","122.76","","","","","","","","",""
"106R03869","OEM Toner","979634","","78.18","","","","","","","","",""
"106R03916","OEM Toner","979643","","165.11","","","","","","","","",""
"106R03917","OEM Toner","979644","","165.11","","","","","","","","",""
"106R03918","OEM Toner","979645","","165.11","","","","","","","","",""
"106R03919","OEM Toner","979646","","78.18","","","","","","","","",""
"106R03928","OEM Toner","979647","","116.57","","","","","","","","",""
"106R03929","OEM Toner","979648","","116.57","","","","","","","","",""
"106R03930","OEM Toner","979649","","116.57","","","","","","","","",""
"106R03931","OEM Toner","979650","","46.40","","","","","","","","",""
"106R03944","OEM Toner","991280","","118.19","","","","","","","","",""
"106R04046","OEM Toner","1082433","","138.02","","","","","","","","",""
"106R04047","OEM Toner","1082434","","138.02","","","","","","","","",""
"106R04048","OEM Toner","1082435","","138.02","","","","","","","","",""
"106R04049","OEM Toner","1082436","","123.58","","","","","","","","",""
"106R04074","OEM Toner","1082441","","291.78","","","","","","","","",""
"106R04075","OEM Toner","1082442","","291.78","","","","","","","","",""
"106R04076","OEM Toner","1082443","","291.78","","","","","","","","",""
"106R04077","OEM Toner","1082444","","212.49","","","","","","","","",""
"108R00493","Accessories","1166","","68.93","","","","","","","","",""
"108R00645","OEM Drum","10542","","266.60","","","","","","","","",""
"108R00723","OEM Solid Ink","90290","","88.55","","","","","","","","",""
"108R00726","OEM Solid Ink","90278","","64.48","","","","","","","","",""
"108R00727","OEM Solid Ink","90277","","88.51","","","","","","","","",""
"108R00774","OEM Drum","7751","","88.93","","","","","","","","",""
"108R00775","OEM Drum","7752","","128.09","","","","","","","","",""
"108R00776","OEM Drum","7753","","128.09","","","","","","","","",""
"108R00777","OEM Drum","7754","","128.09","","","","","","","","",""
"108R00823","OEM Miscellaneous","900781","","27.91","","","","","","","","",""
"108R00829","OEM Solid Ink","901445","","93.97","","","","","","","","",""
"108R00830","OEM Solid Ink","901446","","103.14","","","","","","","","",""
"108R00832","OEM Solid Ink","901448","","300.67","","","","","","","","",""
"108R00950","OEM Solid Ink","93350","","77.14","","","","","","","","",""
"108R00951","OEM Solid Ink","93351","","77.14","","","","","","","","",""
"108R00952","OEM Solid Ink","93352","","77.14","","","","","","","","",""
"108R00953","OEM Solid Ink","93355","","221.46","","","","","","","","",""
"108R00982","OEM Miscellaneous","502422","","38.67","","","","","","","","",""
"108R00990","OEM Solid Ink","906095","","137.74","","","","","","","","",""
"108R00991","OEM Solid Ink","906096","","131.13","","","","","","","","",""
"108R00992","OEM Solid Ink","906097","","137.74","","","","","","","","",""
"108R01016","OEM Solid Ink","906102","","68.10","","","","","","","","",""
"108R01036","OEM Color Laser Maintenance","502412","","64.04","","","","","","","","",""
"108R01053","OEM Color Laser Maintenance","502410","","103.43","","","","","","","","",""
"108R01121","OEM Drum","908834","","110.06","","","","","","","","",""
"108R01122","OEM Mono Laser Maintenance","915443","","185.91","","","","","","","","",""
"108R01124","OEM Miscellaneous","908835","","15.43","","","","","","","","",""
"108R01158","OEM Miscellaneous","930304","","75.28","","","","","","","","",""
"108R01266","OEM Mono Laser Maintenance","930626","","13.95","","","","","","","","",""
"108R01416","OEM Miscellaneous","973579","","15.38","","","","","","","","",""
"108R01417","OEM Drum","973580","","83.18","","","","","","","","",""
"108R01418","OEM Drum","973581","","83.18","","","","","","","","",""
"108R01419","OEM Drum","973582","","83.18","","","","","","","","",""
"108R01420","OEM Drum","973583","","83.18","","","","","","","","",""
"108R01481","OEM Drum","979651","","61.44","","","","","","","","",""
"108R01482","OEM Drum","979652","","61.44","","","","","","","","",""
"108R01483","OEM Drum","979653","","61.44","","","","","","","","",""
"108R01484","OEM Drum","979654","","75.46","","","","","","","","",""
"108R01485","OEM Drum","979655","","62.68","","","","","","","","",""
"108R01486","OEM Drum","979656","","62.68","","","","","","","","",""
"108R01487","OEM Drum","979657","","62.68","","","","","","","","",""
"108R01488","OEM Drum","979658","","26.00","","","","","","","","",""
"108R01490","OEM Color Laser Maintenance","994951","","24.34","","","","","","","","",""
"108R01492","OEM Color Laser Maintenance","979659","","228.99","","","","","","","","",""
"108R01504","OEM Miscellaneous","1082447","","30.73","","","","","","","","",""
"109R00731","OEM Mono Laser Maintenance","6072","","441.02","","","","","","","","",""
"109R00754","OEM Miscellaneous","10964","","41.03","","","","","","","","",""
"109R00773","OEM Mono Laser Maintenance","925743","","194.37","","","","","","","","",""
"109R00847","OEM Color Laser Maintenance","930299","","132.76","","","","","","","","",""
"109R00850","OEM Mono Laser Maintenance","978161","","132.82","","","","","","","","",""
"113R00670","OEM Drum","6071","","157.43","","","","","","","","",""
"113R00674","OEM Drum","915477","","200.69","","","","","","","","",""
"113R00723","OEM Toner","90267","","203.15","","","","","","","","",""
"113R00724","OEM Toner","90268","","203.15","","","","","","","","",""
"113R00726","OEM Toner","90266","","156.31","","","","","","","","",""
"113R00755","OEM Drum","903137","","346.37","","","","","","","","",""
"113R00762","OEM Drum","99905","","190.03","","","","","","","","",""
"113R00773","OEM Drum","915024","","61.10","","","","","","","","",""
"113R00779","OEM Drum","978162","","144.37","","","","","","","","",""
"113R00780","OEM Drum","978015","","131.93","","","","","","","","",""
"113R00782","OEM Drum","978016","","195.66","","","","","","","","",""
"115R00049","OEM Color Laser Maintenance","15084","","261.76","","","","","","","","",""
"115R00059","OEM Color Laser Maintenance","7757","","212.40","","","","","","","","",""
"115R00069","OEM Mono Laser Maintenance","99906","","139.40","","","","","","","","",""
"115R00073","OEM Color Laser Maintenance","502439","","445.84","","","","","","","","",""
"115R00076","OEM Mono Laser Maintenance","915445","","140.59","","","","","","","","",""
"115R00084","OEM Mono Laser Maintenance","915025","","231.27","","","","","","","","",""
"115R00086","OEM Mono Laser Maintenance","930629","","139.63","","","","","","","","",""
"115R00088","OEM Color Laser Maintenance","930247","","176.54","","","","","","","","",""
"115R00114","OEM Mono Laser Maintenance","978163","","250.97","","","","","","","","",""
"115R00116","OEM Mono Laser Maintenance","978164","","59.15","","","","","","","","",""
"115R00119","OEM Mono Laser Maintenance","975096","","280.13","","","","","","","","",""
"115R00126","OEM Color Laser Maintenance","978017","","73.45","","","","","","","","",""
"115R00127","OEM Color Laser Maintenance","978018","","193.62","","","","","","","","",""
"115R00128","OEM Miscellaneous","978019","","30.57","","","","","","","","",""
"115R00129","OEM Miscellaneous","978020","","18.38","","","","","","","","",""
"115R00133","OEM Color Laser Maintenance","979660","","183.06","","","","","","","","",""
"115R00135","OEM Color Laser Maintenance","979661","","157.69","","","","","","","","",""
"115R00137","OEM Color Laser Maintenance","978021","","183.47","","","","","","","","",""
"115R00139","OEM Mono Laser Maintenance","994954","","172.95","","","","","","","","",""
"115R00159","OEM Color Laser Maintenance","1323007","","372.16","","","","","","","","",""
"115R00163","OEM Mono Laser Maintenance","1299836","","180.93","","","","","","","","",""
"116R00003","OEM Mono Laser Maintenance","915026","","12.86","","","","","","","","",""
"116R00010","OEM Color Laser Maintenance","994952","","16.65","","","","","","","","",""
"116R00015","OEM Mono Laser Maintenance","1082448","","50.87","","","","","","","","",""
"116R00016","OEM Color Laser Maintenance","1082464","","9.81","","","","","","","","",""
"116R00017","OEM Color Laser Maintenance","1082465","","18.39","","","","","","","","",""
"116R00018","OEM Toner","993278","","122.54","","","","","","","","",""
"116R00019","OEM Toner","993279","","122.54","","","","","","","","",""
"116R00034","OEM Mono Laser Maintenance","1299837","","51.13","","","","","","","","",""
"116R00035","OEM Mono Laser Maintenance","1299838","","13.39","","","","","","","","",""
"116R00036","OEM Mono Laser Maintenance","1299839","","13.39","","","","","","","","",""
"116R00037","OEM Mono Laser Maintenance","1299840","","13.39","","","","","","","","",""
"116R00038","OEM Color Laser Maintenance","1323008","","22.10","","","","","","","","",""
"116R00039","OEM Color Laser Maintenance","1309131","","62.21","","","","","","","","",""
"126K32220","OEM Color Laser Maintenance","502265","","172.40","","","","","","","","",""
"300N03923","Accessories","1342637","6,232.90","","","5,847.75","","","","","","6,173.79",""
"300N03925","Accessories","1342638","2,908.69","","","2,500.87","","","","","","2,881.10",""
"300N03926","Accessories","1342639","4,238.37","","","3,644.14","","","","","","4,198.18",""
"300N03927","Accessories","1342640","2,659.37","","","2,286.52","","","","","","2,634.16",""
"300S01843","Accessories","1342641","1,910.40","","","1,633.34","","","","","","1,888.62",""
"300S01844","Accessories","1342642","2,573.03","","","2,141.55","","","","","","2,543.35",""
"301N79930","Accessories","1349064","","","","3,310.78","","","","","","3,459.78",""
"304S00214","Accessories","1331940","276.39","","","253.81","","","","","","364.59",""
"304S00215","Accessories","1331941","276.39","","","253.81","","","","","","364.59",""
